Unnamed: 0,university,sent_id,original_sentence,translation,word_id,first_cs_word_form,first_cs_word_translation,governer_first_cs_word,preceding_word,governer_trans,preceding_trans,Unnamed: 12,Unnamed: 13,preceding_prob
23,CMU,26,房东 非常 无敌 nice 还 会 帮忙 丢 垃圾 ！,房东 非常 无敌 好 还会 帮忙 丢 垃圾 ！,4,nice,好,还,无敌,also,invincible,,,0.0001762758207353248
24,CMU,30,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,户型 ： 一 楼 是 超大 客厅 ， 餐厅 及 厨房 ；,7,living,客厅,room,超大,房间,Very large,,,4.1520479976748534e-05
25,CMU,31,长 租 all gone ！,长 租 全部 租出 ！,3,all,全部,gone,租,走了,rent,,,0.0013563445095468047
26,CMU,35,有 pet 可以 商量 正规 物业 管理 ， pa 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,有 宠物 可以 商量 正规 物业 管理 ， 宾 州 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,2,pet,宠物,商量,有,To discuss,There are,,,0.0033208885955322703
27,CMU,36,欢迎 email 联系 咨询 。,欢迎 发 邮件 联系 咨询 。,2,email,发,欢迎,欢迎,welcome,welcome,,,0.00016452409935296982
28,CMU,45,所有 想 寄 想 return 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,所有 想 寄 想 退还 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,5,return,退还,想,想,Want to,Want to,,,0.00011670556852284095
29,CMU,46,免费 送 顶楼 view 和 顶楼 的 阳光 普照 !,免费 送 顶楼 景观 和 顶楼 的 阳光 普照 ！,4,view,景观,顶楼,顶楼,The top floor,The top floor,,,4.1521341969772464e-05
30,CMU,49,bathroom : 二 楼 和 地下室 各 有 一 个 卫生间,浴室 ： 二 楼 和 地下室 各 有 一 个 卫生间,1,bathroom,浴室,有,,There are,,,,0.0
31,CMU,53,适合 couple 或 单身 居住 。,适合 情侣 或 单身 居住 。,2,couple,情侣,居住,适合,live,Suitable for,,,4.1521341969772464e-05
32,CMU,56,有 车库 ， off street parking .,有 车库 ， 路 外 停车场 。,4,off,路,parking,，,停车,",",,,2.6314404505026052e-05
33,CMU,57,要求 ： no smoking ， no pets ， no parties .,要求 ： 禁止 吸烟 ， 禁止 宠物 入内 ， 禁止 举办 派对 。,3,no,禁止,要求,：,requirements,:,,,9.56791304680623e-05
34,CMU,62,house 里面 有 一 个 shared kitchen 和 dining room ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 share 。,房子 里面 有 一 个 公共 厨房 和 餐厅 ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 共用 。,1,house,房子,里面,,inside,,,,0.0
35,CMU,64,一 层 有 doorman 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,一 层 有 门卫 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,4,doorman,门卫,帮忙,有,help,There are,,,0.0033208885955322703
36,CMU,67,八月 开始 可 签 一 年 lease 。,八月 开始 可 签 一 年 租约 。,7,lease,租约,签,年,sign,years,,,2.3503442764709972e-05
37,CMU,68,性格 非常 nice 好 相处 ， 绝对 不 会 打扰 你 。,性格 非常 好好 相处 ， 绝对 不 会 打扰 你 。,3,nice,好好,好,非常,good,very,,,0.00026469031233456857
38,CMU,69,［ 治安 ］ 附近 治安 好 ， 公寓 有 doorman ， 收发 快递 也 方便 。,［ 治安 ］ 附近 治安 好 ， 公寓 有 门卫 ， 收发 快递 也 方便 。,10,doorman,门卫,有,有,There are,There are,,,0.0033208885955322703
39,CMU,76,an open-air shopping 经历 。,一 次 露天 购物 经历 。,1,an,一,经历,,experience,,,,0.0
40,CMU,79,（ 对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,（ 对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,10,share,共用,贵,人,your,people,,,4.602757541422369e-05
41,CMU,83,附近 neighborhood 非常 安静 也 非常 安全 ， 临近 富人 区 。,附近 街区 非常 安静 也 非常 安全 ， 临近 富人 区 。,2,neighborhood,街区,安静,附近,quiet,near,,,9.793101151962489e-06
42,CMU,84,房子 目前 half furnished ，,房子 目前 装修 了 一半 ，,3,half,装修,装修,目前,decorate,At present,,,9.926346508903933e-05
43,CMU,85,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,房子 目前 几乎 是 完整 装修 ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,5,fully,完整,furnished,是,有家具的,is,,,3.3518242303373614e-05
44,CMU,87,想 找 1-2 间 带 家具 的 house room 或者 apartment room ，,想 找 1-2 间 带 家具 的 住宅 房间 或者 公寓 房间 ，,8,house,住宅,room,的,房间,the,,,0.00023855261340665688
45,CMU,89,房间 是 一 栋 house 的 顶层 ， 非常 宽敞 。,房间 是 一 套 房子 的 顶层 ， 非常 宽敞 。,4,house,套,一,一,one,one,,,9.988963175001738e-05
46,CMU,92,budget 灵活 。,资金 灵活 。,1,budget,资金,灵活,,flexible,,,,0.0
47,CMU,93,客厅 超大 ， walk-in closet 也 很 大 。,客厅 超大 ， 步入 式 衣柜 也 很 大 。,4,walk-in,步入,。,，,.,",",,,0.18297721172569864
48,CMU,95,如果 感 兴趣 ， 请 通过 email 联系 em@7,如果 感 兴趣 ， 请 通过 邮箱 联系 em@7,7,email,邮箱,联系,通过,contact,through,,,0.00016452409935296982
49,CMU,97,leasing office 就 在 lobby ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,租约 办公室 就 在 大堂 ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,1,leasing,租约,office,,办公室,,,,0.0
50,CMU,98,房东人 很 nice 。,房东人 很 好 。,3,nice,好,好,很,good,very,,,0.00026469031233456857
51,CMU,99,由 正规 公司 管理 ， 欢迎 email 联系 咨询 详细 。,由 正规 公司 管理 ， 欢迎 发 邮件 联系 咨询 详细 。,7,email,发,欢迎,欢迎,welcome,welcome,,,0.00016452409935296982
52,CMU,102,卧室 内 家具 齐全 ， queen size 床 ， 拎包 入住 。,卧室 内 家具 齐全 ， 标准 双人床 ， 拎包 入住 。,6,queen,标准,size,，,大小,.,,,3.917240460784996e-06
53,CMU,103,有 indoor 和 outdoor 的 停车场 ， 而且 周围 的 街区 都 可以 免费 街趴 。,有 室内 和 室外 的 停车场 ， 而且 周围 的 街区 都 可以 免费 街趴 。,2,indoor,室内,outdoor,有,户外,There are,,,0.0033208885955322703
54,CMU,107,我 是 刚 毕业 没 多久 的 young professional ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,我 是 刚 毕业 没 多久 的 年轻 工作者 ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,8,young,年轻,professional,的,专业,the,,,3.766620211684056e-05
55,CMU,108,整个 公寓 总共 两 人 share ， 两 人 比较 好 协调 。,整个 公寓 总共 两 人 共用 ， 两 人 比较 好 协调 。,6,share,共用,人,人,people,people,,,4.602757541422369e-05
56,CMU,110,户型 ： 一 楼 是 超大 living room ， dining room ， sun room 及 厨房 。,户型 ： 一 楼 是 超大 客厅 ， 餐厅 ， 阳光 房及 厨房 。,7,living,客厅,客厅,超大,The sitting room,Very large,,,4.1520479976748534e-05
57,CMU,117,还有 其他 utility 吗 ？,还有 其他 设施 或 服务 吗 ？,3,utility,设施,？,其他,?,other,,,0.015266407868535913
58,CMU,119,大家 住 过 house 就 知道 房东 有 多 重要 了 ！,大家 住 过 整套 房子 就 知道 房东 有 多 重要 了 ！,4,house,整套,就,过,it,pass,,,9.988963175001738e-05
59,CMU,124,house 出租 2018 .,房屋 出租 2018 。,1,house,房屋,出租,,rent,,,,0.0
60,CMU,125,房型 ： house 一 层 ， 与 二 层 完全 独立 。,房型 ： 房屋 一 层 与 二 层 完全 独立 。,3,house,房屋,完全,：,completely,:,,,9.988963175001738e-05
61,CMU,134,餐厅 和 deck 之前 是 全 景 玻璃 门 。,餐厅 和 露台 之前 是 全 景 玻璃 门 。,3,deck,露台,门,和,The door,and,,,5.875860691177493e-06
62,CMU,140,风水 宝地 ， 楼 主 正是 在 这里 面试 并 拿到 玄学 公司 的 offer ！,风水 宝地 ， 楼 主 正是 在 这里 面试 并 拿到 玄学 公司 的 录取 ！,15,offer,录取,面试,的,The interview,the,,,6.27770035280676e-05
63,CMU,143,需要 房子 的 朋友 请 联系 我 呀 ， 这个 房子 依然 available 。,需要 房子 的 朋友 请 联系 我 呀 ， 这个 房子 依然 可 租 。,13,available,可,。,依然,.,still,,,6.068820423603666e-05
64,CMU,145,且 在 寒冷 的 匹兹堡 cover 所有 暖气 费 ！,且 在 寒冷 的 匹兹堡 包含 所有 暖气 费 ！,6,cover,包含,包含,匹兹堡,contains,Pittsburgh,,,3.8193094492653704e-05
65,CMU,146,租 新房 还 得 大 冬天 往返 宜家 搬家 具 组装 家具 ， 折腾 一 遍 签 合同 接 电网 的 手续 ， 来 这 直接 拎包 入住 ， so easy ！,租 新房 还 得 大 冬天 往返 宜家 搬家 具 组装 家具 ， 折腾 一 遍 签 合同 接 电网 的 手续 ， 来 这 直接 拎包 入住 ， 很 方便 ！,30,so,很,easy,，,容易,.,,,0.001594316867539493
66,CMU,150,房间 宽敞 ， 客厅 更大 ， 可 开 party ， 卧室 里 各 式 家具 齐全 ， 拎包 入住 。,房间 宽敞 ， 客厅 更大 ， 可 开 派对 ， 卧室 里 各 式 家具 齐全 ， 拎包 入住 。,9,party,派对,开,开,open,open,,,9.891032163482114e-05
67,CMU,151,欢迎 text ， 不 能 时时 接 电话 。,欢迎 来 短信 ， 不 能 时时 接 电话 。,2,text,来,欢迎,欢迎,welcome,welcome,,,2.3503442764709972e-05
68,CMU,156,utility 不 包 。,公用 事业 不 包 。,1,utility,公用,不,,Don’t,,,,0.0
69,CMU,162,门口 有 bus 到 中国 店 等 。,门口 有 公交 到 中国 店 等 。,3,bus,公交,有,有,There are,There are,,,0.0033208885955322703
70,CMU,170,main office 就 在 地下 一 楼 ， 咨询 非常 方便 。,总 办公室 就 在 地下 一 楼 ， 咨询 非常 方便 。,1,main,总,office,,办公室,,,,0.0
71,CMU,171,我 希望 租 一 个 房间 前 一 整 年 lease 。,我 希望 租 一 个 房间 前 一 整 年 的 租期 。,11,lease,的,前,年,before,years,,,2.3503442764709972e-05
72,CMU,177,全新 的 宜家 买 的 twin size 的 床 和 书桌 柜子 ， 房间 内 有 closet 。,全新 的 宜家 买 的 小 单人床 的 床 和 书桌 柜子 ， 房间 内 有 衣柜 。,6,twin,小,size,的,大小,the,,,2.5110801411227038e-05
73,CMU,178,pn-3 call 或者 text 都 阔 以 。,pn-3 打 电话 或者 发 短信 都 阔 以 。,2,call,打,打,pn-3,play,pn-3,,,0.00013906203635786734
74,CMU,180,我俩 都 是 刚 毕业 没 多久 的 young professional ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,我俩 都 是 刚 毕业 没 多久 的 年轻 职员 ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,9,young,年轻,professional,的,专业,the,,,3.766620211684056e-05
75,CMU,185,可以 share 大部分 家用 电器 ， 厨房 用品 ， 家具 等 。,可以 共用 大部分 家用 电器 ， 厨房 用品 ， 家具 等 。,2,share,共用,电器,可以,Electrical appliances,can,,,4.602757541422369e-05
76,CMU,190,一 楼 还 有 一 个 健身房 ， 及 vending machine + 小 食品 店 ， 深夜 饿 了 买 吃 的 方便 。,一 楼 还 有 一 个 健身房 ， 及 自动 售卖 机和 小 食品 店 ， 深夜 饿 了 买 吃 的 方便 。,10,vending,自动,machine,及,机,and,,,2.9379303455887465e-06
77,CMU,193,家具 ： 整个 house 家具 齐全 ， 出租 卧室 家具 齐全 ， 可以 打包 低价 转让 ， 方便 拎包 入住 。,家具 ： 整个 房子 家具 齐全 ， 出租 卧室 家具 齐全 ， 可以 打包 低价 转让 ， 方便 拎包 入住 。,4,house,房子,齐全,整个,complete,The whole,,,7.827298486200473e-05
78,CMU,201,卧室 里 有 一 个 queen bed ， 凉台 上 又 一 个 twin bed 。,卧室 里 有 一 个 标准 双人床 ， 凉台 上 又 一 个 单人床 。,6,queen,标准,bed,个,床上,a,,,3.917240460784996e-06
79,CMU,203,两 个 block 内 有 各 种 吃 = 的 ， 银行 和 小 超市 。,两 个 街区 内 有 各 种 吃 = 的 ， 银行 和 小 超市 。,3,block,街区,有,个,There are,a,,,7.439811921554624e-05
80,CMU,204,about apt ： 两 室 一 厅 ， 一 个 卫生间 ， 空间 很大 ， 朝向 为 南 ， 所以 有 充足 的 阳光 。,关于 公寓 ： 两 室 一 厅 ， 一 个 卫生间 ， 空间 很大 ， 朝向 为 南 ， 所以 有 充足 的 阳光 。,1,about,关于,apt,,恰当的,,,,0.0
81,CMU,206,bedroom ， den ， 和 hallway 均 有 closet 3 .,卧室 ， 小 房间 ， 和 门廊 都 有 衣柜 。,1,bedroom,卧室,closet,,衣橱,,,,0.0
82,CMU,208,同 问 楼主 这个 house 现在 还 在 招租 吗 ？,同 问 楼主 这个 房子 现在 还 在 招租 吗 ？,5,house,房子,在,这个,in,this,,,9.988963175001738e-05
83,CMU,209,洗 手间 春天 刚 remodel 过 很 干净 。,洗 手间 春天 刚 改造 过 很 干净 。,5,remodel,改造,干净,刚,clean,just,,,1.958620230392498e-06
84,CMU,210,公寓 有 free parking 。,公寓 有 免费 停车场 。,3,free,免费,parking,有,停车,There are,,,4.125327447866174e-05
85,CMU,211,manager 很 nice ， 有 问题 会 及时 给 解决 。,经理 很 好 ， 有 问题 会 及时 给 解决 。,1,manager,经理,nice,,不错的,,,,0.0
86,CMU,212,洗衣房 在 basement ；,洗衣房 在 地下室 ；,3,basement,地下室,洗衣房,在,Laundry room,in,,,3.351711886846207e-05
87,CMU,214,楼道 building manager 和蔼可亲 。,楼道 物业 经理 和蔼可亲 。,2,building,物业,manager,楼道,经理,corridor,,,0.00014591720716424108
88,CMU,216,room : 超大 空间 ， 包 家具 ， 直接 入住 。,房间 ： 超大 空间 ， 包 家具 ， 直接 入住 。,1,room,房间,包,,package,,,,0.0
89,CMU,218,附近 house 的 地下室 或者 车库 都 是 可以 的 。,附近 房子 的 地下室 或者 车库 都 是 可以 的 。,2,house,房子,车库,附近,The garage,near,,,9.988963175001738e-05
90,CMU,219,家具 ： queen size 床 ， 桌子 转椅 台灯 ， 有 吊扇 和 顶灯 。,家具 ： 标准 双人床 ， 桌子 转椅 台灯 ， 有 吊扇 和 顶灯 。,3,queen,标准,size,：,大小,:,,,3.917240460784996e-06
91,CMU,222,后院 有 double deck ， 很 休闲 安静 。,后院 有 双层 露台 ， 很 休闲 安静 。,3,double,双层,deck,有,甲板,There are,,,0.0033208885955322703
92,CMU,226,电话 ： pn-4 ， email,电话 ： pn-4 ， 邮箱,5,email,邮箱,邮箱,，,email,",",,,0.00016452409935296982
93,CMU,231,house 一共 有 三 间 卧室 ， 另外 两 间 分别 住 了 一 个 匹 大 本科 美国 女生 ， 和 一 个 匹 大 博士后 中国 男生 。,房子 一共 有 三 间 卧室 ， 另外 两 间 分别 住 了 一 个 匹 大 本科 美国 女生 ， 和 一 个 匹 大 博士后 中国 男生 。,1,house,房子,有,,There are,,,,0.0
94,CMU,233,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 等 。,房子 目前 几乎 是 家具 齐全 ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 等 。,5,fully,家具,furnished,是,有家具的,is,,,3.3518242303373614e-05
95,CMU,239,如果 renew ， 也 是 yearly lease 从 夏天 都 夏天 。,如果 更新 ， 也 是 一 年 期 租约 从 夏天 都 夏天 。,2,renew,更新,夏天,如果,summer,if,,,0.049599010643081996
96,CMU,240,不包括 utilities .,不 包括 水电气 等 服务费 。,1,utilities,不,utilities,,公用事业公司,,,,0.0
97,CMU,244,朋友 来 聚餐 ， 开 party 都 有 足够 空间 。,朋友 来 聚餐 ， 开 派对 都 有 足够 空间 。,6,party,派对,开,开,open,open,,,9.891032163482114e-05
98,CMU,245,松鼠山 公寓 很少 ， 所以 我 的 房子 既 能 享受 apartment 的 物业 ， 又 能 享受 松鼠 山 的 优越 位置 。,松鼠山 公寓 很少 ， 所以 我 的 房子 既 能 享受 公寓 的 物业 ， 又 能 享受 松鼠 山 的 优越 位置 。,12,apartment,公寓,享受,享受,enjoy,enjoy,,,6.659308783334492e-05
99,CMU,247,顶 个 ~ update 一下 ： 房子 还 在 。,顶 个 ~ 更新 一下 ： 房子 还 在 。,4,update,更新,顶,~,The top,~,,,3.7213784377457453e-05
100,CMU,248,适合 爸 妈 来 visit ， 男女 朋友 来 visit ， 各 种 。,适合 爸 妈 来 玩 ， 男女 朋友 来 玩 ， 各 种 。,5,visit,玩,玩,来,play,to,,,0.00027824925568324107
101,CMU,249,apartment 是 一 房 一 厅 ， 一 厨房 ， 一卫浴 。,公寓 是 一 房 一 厅 ， 一 厨房 ， 一卫浴 。,1,apartment,公寓,是,,is,,,,0.0
102,CMU,256,现在 就 可以 move in !,现在 就 可以 入住 ！,4,move,入住,入住,可以,To stay in,can,,,5.828411563568542e-05
103,CMU,259,上学 放学 so easy ！,上学 放学 很 方便 ！,3,so,很,easy,放学,容易,School is over,,,0.00013731682915824782
104,CMU,265,类型 ： apartment 。,类型 ： 公寓 。,3,apartment,公寓,公寓,：,apartment,:,,,6.659308783334492e-05
105,CMU,266,夏天 开始 ， yearly lease 。,夏天 开始 ， 一 年 租期 。,4,yearly,一,。,，,.,.,,,4.896550575981244e-06
106,CMU,267,小区 环境 非常 幽静 ： 有 多 处 playground 和 公园 ， 很 适合 有 孩子 （ 和 老人 ） 的 家庭 在,小区 环境 非常 幽静 ： 有 多 处 休闲 场地 和 公园 ， 很 适合 有 孩子 （ 和 老人 ） 的 家庭 在,9,playground,休闲,和,处,and,place,,,0.005015003905125992
107,CMU,269,房间 明亮 宽敞 ， 干净 整洁 ， 有 walk in closet ， 家具 齐全 ， 可 拎包 入住 。,房间 明亮 宽敞 ， 干净 整洁 ， 有 步入 式 衣柜 ， 家具 齐全 ， 可 拎包 入住 。,9,walk,步入,有,有,There are,There are,,,4.0020810821627246e-05
108,CMU,270,有 一 个 fireplace ， 中央 空调 。,有 一 个 火炉 ， 中央 空调 。,4,fireplace,火炉,有,个,There are,a,,,0.14352885159063178
109,CMU,277,prefer 男生 。,更 希望 是 男生 。,1,prefer,更,男生,,The boy,,,,0.0
110,CMU,278,其他 附近 的 房子 可能 有 个别 卧室 或者 house 也 可以 夏天 短 租 的 。,其他 附近 的 房子 可能 有 个别 卧室 或者 整 套 房子 也 可以 夏天 短 租 的 。,10,house,整,可以,或者,can,or,,,9.988963175001738e-05
111,CMU,279,饭厅 有 两 张 书桌 ， 房间 有 一 张 king size bed 。,饭厅 有 两 张 书桌 ， 房间 有 一 张 特大 双人床 。,11,king,特大,size,张,大小,zhang,,,1.0772411267158737e-05
112,CMU,281,户型 ： 一 室 一 厅 ， 崭新 的 apartment room 。,户型 ： 一 室 一 厅 ， 崭新 的 公寓 房间 。,10,apartment,公寓,room,的,房间,the,,,0.00010044320564490815
113,CMU,287,整个 house 不 单独 租 一 个 卧室 ， 希望 同学 结伴 租 整 个 house 。,整个 房子 不 单独 租 一 个 卧室 ， 希望 同学 结伴 租 整个 房子 。,2,house,房子,租,整个,rent,The whole,,,7.827298486200473e-05
114,CMU,291,单独 饭厅 ， 后院 可 免费 停车 ， 包 utility ， 全 套 家具 .,单独 饭厅 ， 后院 可 免费 停车 ， 包 各 种 服务费 ， 全 套 家具 。,10,utility,各,全,包,all,package,,,0.0003942481273213952
115,CMU,302,整个 house 的 是 yearly lease .,整个 房子 的 是 整 年 租 。,2,house,房子,.,整个,.,The whole,,,7.827298486200473e-05
116,CMU,303,补充 ： 如果 几 个 同学 一 起 租 整 个 house ， 麻烦 告知 具体 要求 。,补充 ： 如果 几 个 同学 一 起 租 整个 房子 ， 麻烦 告知 具体 要求 。,10,house,整个,个,租,a,rent,,,9.988963175001738e-05
117,CMU,304,整 栋 house 的 最早 2017/6/1 开始 入住 。,整 栋 房子 的 最早 2017/6/1 开始 入住 。,3,house,房子,入住,栋,To stay in,building,,,9.988963175001738e-05
118,CMU,307,如有 需要 ， 请 email 联系 （ em@19,如有 需要 ， 请 发 邮件 联系 （ em@19,5,email,发,如有,请,If you have,please,,,0.00016452409935296982
119,CMU,309,房租 交付 方式 为 check 。,房租 交付 方式 为 支票 支付 。,5,check,支票,。,为,.,for,,,0.00010282756209560613
120,CMU,313,手头 没有 floor plan ， 所以 自己 画 了 张 。,手头 没有 户型 图 ， 所以 自己 画 了 张 。,3,floor,户型,plan,没有,计划,There is no,,,0.00022829154906192926
121,CMU,314,邮寄 的 包裹 不用 担心 丢失 ， 会 有 doorman 代为 签收 保管 ；,邮寄 的 包裹 不用 担心 丢失 ， 会 有 门卫 代为 签收 保管 ；,10,doorman,门卫,有,有,There are,There are,,,0.0033208885955322703
122,CMU,319,house 内部 精心 装修 过 ， 因此 住 得 非常 舒服 。,房子 内部 精心 装修 过 ， 因此 住 得 非常 舒服 。,1,house,房子,内部,,internal,,,,0.0
123,CMU,320,house 在 白人 养老 社区 ， 环境 十分 幽静 ， 治安 很 好 。,房子 在 白人 养老 社区 ， 环境 十分 幽静 ， 治安 很 好 。,1,house,房子,幽静,,A quiet,,,,0.0
124,CMU,322,总之 家 里 非常 宽敞 ， 可以 开 party 。,总之 家 里 非常 宽敞 ， 可以 开 派对 。,9,party,派对,开,开,open,open,,,9.891032163482114e-05
125,CMU,323,厨房 卫生间 ： 可能 与 另 一 个 房间 的 人 share ， 另 一 个 房间 是 女生 ， 匹 大学生 ， 人 很 nice ， 很 爱 干净 。,厨房 卫生间 ： 可能 与 另 一 个 房间 的 人 共用 ， 另 一 个 房间 是 女生 ， 匹 大学生 ， 人 很 善良 ， 很 爱 干净 。,12,share,共用,女生,人,The girl,people,,,4.602757541422369e-05
126,CMU,324,周边 ： 附近 有 bar 和 餐厅 ， 还 有 小 超市 。,周边 ： 附近 有 酒吧 和 餐厅 ， 还 有 小 超市 。,5,bar,酒吧,餐厅,有,The restaurant,There are,,,0.0033208885955322703
127,CMU,325,房间 格局 ： 一 室 一 厅 一 厨 一 卫 ， 很 适合 一 个 人 或 couple 入住 ， 房间 的 隔音 效果 很 好 。,房间 格局 ： 一 室 一 厅 一 厨 一 卫 ， 很 适合 一 个 人 或 情侣 入住 ， 房间 的 隔音 效果 很 好 。,19,couple,情侣,适合,或,Suitable for,or,,,9.695170140442864e-05
