,file,type,conversation,speaker,filtered_transcript_2015,length_of_turn,direction_of_code_switches,first_cs_word,first_cs_word_eng_pos,word_length_eng,english_translation,english_wbw_translation,first_cs_word_zh,word_length_zh,first_cs_word_zh_pos,first_cs_word_eng_raw_freq,first_cs_word_zh_raw_freq,first_cs_word_eng_freq,first_cs_word_zh_freq,chinese_translation,chinese_wbw_translation,cs word en surprisal,cs word en wbw surprisal,cs word zh surprisal,cs word zh wbw surprisal
107,01NC02FBY_0101,Conversation,1,2,"['很多', '科目', 'andy']",3,['man > eng'],andy,0,4,many subjects andy,many subjects andy,安迪,2,0,2307612,0,17.235252469270353,34.64471130410952,很多科目安迪,很多 科目 安迪,25.34346779354135,25.34346779354135,23.784396249973724,23.784396249973724
109,01NC02FBY_0101,Conversation,1,2,"['不然', '就是', 'i', 'thought', '他', 'i.', 'o.', '因为']",8,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",i,2,1,otherwise it is i thought he. o. because,otherwise i thought he i. o. because,我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,我以为他i。o。因为,不然 就是 我 想 他 我 。 o 。 因为,19.988665869419098,16.04540666901367,21.795383498339675,21.313775346035047
110,01NC01FBX_0101,Conversation,1,1,"['这样', '他', '还', '可以', 'graduate', 'in', 'four', 'years', '还', '蛮', '强', '的']",12,"['man > eng', 'eng > man']",graduate,0,8,"in this way, he can also graduate in four years",so he can still graduate in four years pretty strong,毕业,2,1,5881255,2854440,15.885529095715345,13.19993499741712,四年后毕业还还还还蛮强强,这样 他 还 可以 四年 后 毕业 还 蛮 强 的,20.061619728889347,18.29623319713255,22.87607713248215,22.87607713248215
118,01NC02FBY_0101,Conversation,1,2,"['我', '的', 'status', '已经', '是', 'year', 'four', 'standing', '了']",9,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",status,0,6,my status is already year four standing,mine status already year four standing be,地位,2,0,23698402,9120537,13.874935264732605,11.524023964734226,我地位已经已经已经已经已经已经已经已经已经,我 的 地位 已经 是 四年级 的 地位 了,15.09999124829368,14.849040176679127,23.91273661657003,23.977045822558953
143,01NC02FBY_0101,Conversation,1,2,"['她', '都', '被', '丢进', '去', '了', 'i', 'think', '她', '讲', '她', 'a.', 'levels', '考', '得', '太', '差', 'or', 'something', 'then']",20,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",i,2,1,she was thrown into i think.,she was thrown into i think she talks about her a. levels too badly or something then,我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,我认为a。等级考考太太或,她 都 被 丢 进去 了 我 认为 她 讲 她 A 。 水平 考得 太差 或 什么,20.211208476351793,20.211208476351793,21.795383498339675,21.24791812155391
147,01NC02FBY_0101,Conversation,1,2,"['后来', '她', '去', 'com', 'engine', '她', '早', '就', '死', '在', '那边', 'then', '她', '的', 'programming']",15,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",com,0,3,"later, she went to com engine. she had died over there.",then she went com engine she has long died over there then her programming,com,3,0,3882019,28862,16.484845960938447,19.82782764932876,后来后来她com发动机她她就死在在在她她她,后来 她 去 com 发动机 她 早就 死 在 那边 然后 她 的 编程,25.190034578694693,25.577233202349813,21.833890624429994,21.92953424936675
152,01NC02FBY_0101,Conversation,1,2,"['没有', '学过', 'programming', 'so', '还好']",5,"['man > eng', 'eng > man']",programming,0,11,it’s okay if i have never learned programming so,never studied programming so fine,编程,2,0,4774043,27287,16.186441579185473,19.908785134676275,没有编程SO还还,没有 学过 编程 如此 还好,14.170900114424773,16.59776358491916,24.220134554758527,23.80843239289709
160,01NC01FBX_0101,Conversation,1,1,"['换', 'course', 'ya']",3,['man > eng'],course,0,6,change course ya,change course ya,课程,2,0,95688637,1980434,11.861377429956292,13.72732611203779,换课程,换 课程 YA,10.579072670069621,10.579072670069621,23.80843239289709,23.80843239289709
162,01NC02FBY_0101,Conversation,1,2,"['你', '跑', '去', 'appeal', 'accounting', 'for', 'what']",7,['man > eng'],appeal,0,6,you run to appeal accounting for what,you run appeal accounting for what,上诉,2,0,13611614,410849,14.674886900335819,15.996462574401011,你你跑上诉核算什么,你 跑 去 上诉 核算 什么,12.461632242746143,17.34129845926385,23.854045787567987,23.949688748119126
172,01NC01FBX_0101,Conversation,1,1,"['你', '就', '写', '就', 'gain', 'some', 'marks', 'at', 'at', 'least', '你', '没有', '扣', '对', 'i', 'think']",16,"['man > eng', 'eng > man', 'man > eng']",gain,1,4,you just write gain some marks at at least. you did not deduct i think,just write gain some marks at at least you have no deduction i think,获得,2,1,19750964,7814701,14.13780197549059,11.746952059777865,我想至少获得一些标记你扣扣扣,你 就 写 就 至少 获得 一些 分数 你 没有 扣 对 我 认为,16.757779532478647,16.757779532478647,22.830463737811247,22.830463737811247
179,01NC02FBY_0101,Conversation,1,2,"['我', '考', 'elective', '我', '可以', '拿', 'anything', 'better', 'than']",9,"['man > eng', 'eng > man', 'man > eng']",elective,2,8,i test elective i can take anything better than,i'm in the exam elective i can take it anything better than,选修课,3,0,1140216,0,18.252345988835454,34.64471130410952,我选修课我我可以可以,我考 选修课 我 可以 拿 一切 都 比 更好,19.425655530113303,20.81639733667837,23.91273661657003,23.80843239289709
180,01NC02FBY_0101,Conversation,1,2,"['对', 'so', 'i', 'rather', ""don't"", 's.u.', 'it', 'but', '其实', '差', '没', '多少', '那', '两三', '分']",15,"['man > eng', 'eng > man']",so,2,2,"in fact, there are not many two or three points for so i rars s.u.u.u. it but","right so i rather s.u. it but in fact, there are not many two or three points",所以,2,2,495581448,13406620,9.488674768835141,10.96826908079729,对所以我宁愿S.U.但是，但是其实其实没那两三分,对 所以 我 宁愿 S . U . 但是 其实 差 没 多少 那 两三分,12.935174753636385,10.729991849734068,20.851489188494334,20.851489188494334
182,01NC02FBY_0101,Conversation,1,2,"['对', '我', '就', '还', 'marketing', '没有', 'take', '以前', '其实', '我', '在', 'poly', '的', '时候', '我', 'marketing', '超', '#cui#', '的', 'as', 'in', '我', '不', '可以', '背', 'things', 'like', 'four', 'piece', '那种', '东西']",31,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > other', 'other > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",marketing,0,9,"for me, i did n’t take marketing without taking before. in fact, when i was in poly, i did n’t carry that things like the things like four piece.",turn to me marketing no take i used to be in fact poly when i was marketing overtake #cui# of as in i can't carry it things like four piece that kind of thing,营销,2,0,7589987,978925,15.517555725457305,14.743872497190925,对对就就营销没有采取以前以前其实我我我的的的的＃营销超＃cui＃的,对 我 就 还 营销 没有 拿 以前 其实 我 在 多 的 时候 我 营销 超 ＃ cui ＃ 的 如 我 不 可以 背 诸如 四件 之类 的 东西 那种 东西,16.41178643710532,19.57320660688234,23.854045787567987,23.80843239289709
187,01NC02FBY_0101,Conversation,1,2,"['对', 'swots', '对']",3,"['man > eng', 'eng > man']",swots,0,5,swots,right swots right,swots,5,0,1453,0,27.86840272176809,34.64471130410952,对swots对,对 swots 对,27.400854130188414,24.905398491812363,24.33300370563851,24.33300370563851
190,01NC01FBX_0101,Conversation,1,1,"['对', 'i', 'think', '你', '做久', '对', '你', '做久', '你', '就', '会']",11,"['man > eng', 'eng > man']",i,2,1,"for i think, you will do it for a long time to do it for you for a long time","right i think if you do it for a long time, you will do it for a long time",我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,对我认为你你做久你做久你就,对 我 认为 你 做 久 对 你 做 久 你 就 会,16.239022922674515,17.5566557357273,21.72687637181724,21.72687637181724
192,01NC02FBY_0101,Conversation,1,2,"['后来', '它', '就', 'clash', 'with', '我', 'core', '我', '就', '想', '想', '想', '我', '就', 'next', 'sem', '再', '看', '怎样', '如果', 'next', 'sem', '就', '真的']",24,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",clash,1,5,"later, it was clash with i core. i just want to think about me just sem.",it was later clash with i core i just want to miss me next sem see what if next sem true,冲突,2,0,1342285,2922959,18.01696211650212,13.16571314201207,与我核冲突我我我我就想想就我我我我我就我就我就我就再再再再看怎样怎样,后来 它 就 与 之 冲突 我核 我 就 想想 想 我 就 下 一个 SEM 再 看 怎样 如果 下 一个 SEM 就 真的,22.289545216914885,20.747652027911535,23.854045787567987,23.854045787567987
202,01NC02FBY_0101,Conversation,1,2,"['我', '就', '起来', '我', '关', 'hand-phone', '的', '时候', '我', '就', '想', 'message', '那', '两个']",14,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",hand-phone,0,10,"when i got up, when i closed hand-phone",i get up and i get off hand-phone when i think message those two,手机,2,0,0,296118,38.37322170940093,16.46889863999665,手机手机的的时候我我就就那那那那个两,我 就 起来 我关 手机 的 时候 我 就 想 信息 那 两个,24.748052045669933,25.819339308218918,24.420959724578083,23.80843239289709
205,01NC02FBY_0101,Conversation,1,2,"['对', '后来', '我', '就', '去', '开', '我', '的', 'hand-phone', '的', 'sent', 'message', '一看', '我', 'send', '给', '那个', 'the', 'fourth', 'group', 'member', '的', '是', '什么']",24,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",hand-phone,0,10,"to the sent message of my hand-phone later, i see what i send to the fourth group member",i will open me later for me hand-phone of sent message look at me send to that the fourth group member what is it,手机,2,0,0,296118,38.37322170940093,16.46889863999665,手机的发送消息一看看,对 后来 我 就 去 开 我 的 手机 的 发送 消息 一看 我 发送给 那个 第四 组成员 的 是 什么,25.009858181720144,27.728944358479964,24.420959724578083,23.977045822558953
213,01NC01FBX_0101,Conversation,1,1,"['我', '本来', '想要', 'meet', '你们', '吃', 'breakfast']",7,"['man > eng', 'eng > man', 'man > eng']",meet,1,4,i originally wanted meet to eat breakfast,i originally wanted meet you eat breakfast,见面,2,1,34661379,652585,13.32639599205065,15.32890500294523,我本来本来见面早餐,我 本来 想要 见面 你们 吃 早餐,18.03128617806862,18.03128617806862,23.80843239289709,23.80843239289709
217,01NC02FBY_0101,Conversation,1,2,"['只是', 'delay', 'ten', 'minutes', '的', '话', 'i', 'think', ""there's"", 'no', 'point']",11,"['man > eng', 'eng > man', 'man > eng']",delay,0,5,it's just delay ten minutes. i think no point,only delay ten minutes if i think no point,延迟,2,1,9204987,103737,15.239237455986503,17.98214027596634,只是延迟十分钟的的的我认为没有意义,只是 延迟 十分钟 的话 我 认为 没有 意义,17.778665173200764,15.542735831623409,23.854045787567987,23.854045787567987
233,01NC02FBY_0101,Conversation,1,2,"['对', 'then', '我', '就', 'like', 'yah', '我', '那', '时候']",9,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",then,2,4,"for the then i just like yah me, then",right then so i like yah i was,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,对然后像yah y我我那那时候,对 然后 我 就 像 yah 我 那 时候,11.459133806222036,8.601689988695776,24.30896789490796,24.30896789490796
234,01NC02FBY_0101,Conversation,1,2,"['我', '就', '站', '在', '那边', '看', '那个', 'train', '越来越', '靠近', '的', '时候']",12,"['man > eng', 'eng > man']",train,0,5,i just stood there and watched the train closer and closer,i just stood there to see that train when getting closer to,火车,2,0,15828580,583309,14.457193209729944,15.490810495697271,火车越来越越来越越来越越来越越来越越来越靠近的时候的,我 就 站 在 那边 看 那个 火车 越来越 靠近 的 时候,13.019670984465131,16.46596376240484,24.420959724578083,23.854045787567987
